countyfips,year,month,day,i305
1043,2015,1,15,
1001,2015,1,15,
1101,2015,1,15,
1103,2015,1,15,
1105,2015,1,15,
1107,2015,1,15,
1109,2015,1,15,
1011,2015,1,15,
1111,2015,1,15,
1113,2015,1,15,
1115,2015,1,15,
1117,2015,1,15,
1119,2015,1,15,
1121,2015,1,15,
1123,2015,1,15,
1125,2015,1,15,
1127,2015,1,15,
1129,2015,1,15,
1013,2015,1,15,
1131,2015,1,15,
1133,2015,1,15,
1015,2015,1,15,
1017,2015,1,15,
1019,2015,1,15,
1021,2015,1,15,
1023,2015,1,15,
1025,2015,1,15,
1027,2015,1,15,
1029,2015,1,15,
1003,2015,1,15,
1031,2015,1,15,
1033,2015,1,15,
1035,2015,1,15,
1037,2015,1,15,
1039,2015,1,15,
1041,2015,1,15,
1045,2015,1,15,
1047,2015,1,15,
1049,2015,1,15,
1005,2015,1,15,
1051,2015,1,15,
1053,2015,1,15,
1055,2015,1,15,
1057,2015,1,15,
1059,2015,1,15,
1061,2015,1,15,
1063,2015,1,15,
1065,2015,1,15,
1067,2015,1,15,
1069,2015,1,15,
1007,2015,1,15,
1071,2015,1,15,
1073,2015,1,15,
1075,2015,1,15,
1077,2015,1,15,
1079,2015,1,15,
1081,2015,1,15,
1083,2015,1,15,
1085,2015,1,15,
1087,2015,1,15,
1089,2015,1,15,
1009,2015,1,15,
1091,2015,1,15,
1093,2015,1,15,
1095,2015,1,15,
1097,2015,1,15,
1099,2015,1,15,
10001,2015,1,15,7.048348525
10003,2015,1,15,6.082548981
10005,2015,1,15,6.656110054
11001,2015,1,15,7.008268013
12001,2015,1,15,
12101,2015,1,15,
12103,2015,1,15,
12105,2015,1,15,
12107,2015,1,15,
12109,2015,1,15,
12011,2015,1,15,
12111,2015,1,15,
12113,2015,1,15,
12115,2015,1,15,
12117,2015,1,15,
12119,2015,1,15,
12121,2015,1,15,
12123,2015,1,15,
12125,2015,1,15,
12127,2015,1,15,
12129,2015,1,15,
12013,2015,1,15,
12131,2015,1,15,
12133,2015,1,15,
12015,2015,1,15,
12017,2015,1,15,
12019,2015,1,15,
12021,2015,1,15,
12023,2015,1,15,
12027,2015,1,15,
12029,2015,1,15,
12003,2015,1,15,
12031,2015,1,15,
12033,2015,1,15,
12035,2015,1,15,
12037,2015,1,15,
12039,2015,1,15,
12041,2015,1,15,
12043,2015,1,15,
12045,2015,1,15,
12047,2015,1,15,
12049,2015,1,15,
12005,2015,1,15,
12051,2015,1,15,
12053,2015,1,15,
12055,2015,1,15,
