countyfips,year,month,day,i305
19155,2015,4,15,
1001,2015,4,15,65.47292904
1101,2015,4,15,66.51695311
1103,2015,4,15,49.61723992
1105,2015,4,15,59.10540167
1107,2015,4,15,58.72326317
1109,2015,4,15,66.21062292
1011,2015,4,15,40.9023194
1111,2015,4,15,65.75792963
1113,2015,4,15,61.23956142
1115,2015,4,15,59.0600831
1117,2015,4,15,66.00685913
1119,2015,4,15,53.32760765
1121,2015,4,15,58.74417256
1123,2015,4,15,47.91187097
1125,2015,4,15,65.88311126
1127,2015,4,15,58.68692551
1129,2015,4,15,47.82610318
1013,2015,4,15,55.79495186
1131,2015,4,15,57.85944841
1133,2015,4,15,56.23561151
1015,2015,4,15,54.80186243
1017,2015,4,15,64.83344037
1019,2015,4,15,37.8354678
1021,2015,4,15,65.29718947
1023,2015,4,15,60.33314112
1025,2015,4,15,55.93547993
1027,2015,4,15,51.67975829
1029,2015,4,15,64.6271369
1003,2015,4,15,48.63190092
1031,2015,4,15,59.65079721
1033,2015,4,15,59.25027132
1035,2015,4,15,62.4220137
1037,2015,4,15,62.60980054
1039,2015,4,15,50.08330321
1041,2015,4,15,65.90536515
1043,2015,4,15,52.52893475
1045,2015,4,15,55.0174513
1047,2015,4,15,61.81399564
1049,2015,4,15,41.90120811
1005,2015,4,15,52.33528307
1051,2015,4,15,63.38511664
1053,2015,4,15,50.07521196
1055,2015,4,15,59.0736931
1057,2015,4,15,60.35002092
1059,2015,4,15,58.12924818
1061,2015,4,15,57.34897213
1063,2015,4,15,58.26524382
1065,2015,4,15,60.62509855
1067,2015,4,15,53.08230959
1069,2015,4,15,53.73866968
1007,2015,4,15,65.88371857
1071,2015,4,15,48.26728543
1073,2015,4,15,60.29815902
1075,2015,4,15,56.60652922
1077,2015,4,15,57.07314829
1079,2015,4,15,58.53486622
1081,2015,4,15,53.61788032
1083,2015,4,15,46.65120151
1085,2015,4,15,62.92104516
1087,2015,4,15,43.80353184
1089,2015,4,15,52.41918932
1009,2015,4,15,51.65729539
1091,2015,4,15,55.84621884
1093,2015,4,15,55.43727033
1095,2015,4,15,55.7498455
1097,2015,4,15,37.09467083
1099,2015,4,15,47.57155694
10001,2015,4,15,
10003,2015,4,15,
10005,2015,4,15,
11001,2015,4,15,35.67886412
12001,2015,4,15,50.68257211
12101,2015,4,15,71.25860608
12103,2015,4,15,75.36983305
12105,2015,4,15,78.27213278
12107,2015,4,15,56.91132472
12109,2015,4,15,46.55443059
12011,2015,4,15,83.38989956
12111,2015,4,15,79.43650294
12113,2015,4,15,46.92633263
12115,2015,4,15,79.71119572
12117,2015,4,15,71.03056816
12119,2015,4,15,52.62451442
12121,2015,4,15,34.0530197
12123,2015,4,15,44.4190888
12125,2015,4,15,40.83445
12127,2015,4,15,69.41720863
12129,2015,4,15,51.94066923
12013,2015,4,15,32.00989814
12131,2015,4,15,48.62125591
12133,2015,4,15,46.64202989
12015,2015,4,15,81.39132707
12017,2015,4,15,56.67345313
12019,2015,4,15,37.23490041
12021,2015,4,15,83.42914305
12023,2015,4,15,40.64660733
12027,2015,4,15,79.77472781
12029,2015,4,15,73.65404648
12003,2015,4,15,38.5221945
12031,2015,4,15,33.60706811
12033,2015,4,15,60.13303155
12035,2015,4,15,61.5526057
12037,2015,4,15,51.070797
12039,2015,4,15,45.22922056
12041,2015,4,15,48.63716987
12043,2015,4,15,79.42959745
