countyfips,year,month,day,i305
19185,2015,7,15,
19187,2015,7,15,
19189,2015,7,15,
22049,2015,7,15,
22005,2015,7,15,
22051,2015,7,15,
1001,2015,7,15,69.26538721
1101,2015,7,15,73.08584967
1103,2015,7,15,66.42209469
1105,2015,7,15,72.73454317
1107,2015,7,15,66.62873124
1109,2015,7,15,78.62118502
1011,2015,7,15,74.66986747
1111,2015,7,15,73.28189175
1113,2015,7,15,73.50692361
1115,2015,7,15,69.3602181
1117,2015,7,15,61.88307418
1119,2015,7,15,75.11452763
1121,2015,7,15,67.45079926
1123,2015,7,15,63.3467495
1125,2015,7,15,64.29544463
1127,2015,7,15,69.17898634
1129,2015,7,15,80.44490875
1013,2015,7,15,77.73270246
1131,2015,7,15,79.88017137
1133,2015,7,15,69.53494601
1015,2015,7,15,68.16052397
1017,2015,7,15,74.05379601
1019,2015,7,15,66.12637505
1021,2015,7,15,72.18445412
1023,2015,7,15,79.27308114
1025,2015,7,15,77.29936629
1027,2015,7,15,71.37550304
1029,2015,7,15,65.70508827
1003,2015,7,15,82.00123521
1031,2015,7,15,78.45838976
1033,2015,7,15,64.32774445
1035,2015,7,15,78.43001656
1037,2015,7,15,62.16149797
1039,2015,7,15,78.40336602
1041,2015,7,15,79.05247983
1043,2015,7,15,67.97472288
1045,2015,7,15,79.00169834
1047,2015,7,15,73.24348441
1049,2015,7,15,68.25135552
1005,2015,7,15,78.79474761
1051,2015,7,15,70.95957948
27013,2015,7,15,
1053,2015,7,15,80.41700706
1055,2015,7,15,66.74105321
1057,2015,7,15,65.681528
1059,2015,7,15,67.71547453
1061,2015,7,15,80.67532069
1063,2015,7,15,70.96756513
1065,2015,7,15,74.30458841
1067,2015,7,15,78.52085962
1069,2015,7,15,80.13452074
1007,2015,7,15,67.47558692
1071,2015,7,15,70.83944219
1073,2015,7,15,66.75925936
1075,2015,7,15,66.74245484
1077,2015,7,15,69.06825443
1079,2015,7,15,63.20322653
1081,2015,7,15,76.20371129
1083,2015,7,15,69.00544601
1085,2015,7,15,77.53556048
1087,2015,7,15,74.15375951
1089,2015,7,15,68.65468603
1009,2015,7,15,66.05580797
1091,2015,7,15,74.53306119
1093,2015,7,15,69.54150698
1095,2015,7,15,65.12028964
1097,2015,7,15,79.83835929
1099,2015,7,15,77.82100065
10001,2015,7,15,28.56099829
10003,2015,7,15,29.42985306
10005,2015,7,15,34.24988461
11001,2015,7,15,48.09907391
12001,2015,7,15,44.46717337
12101,2015,7,15,20.47749697
12103,2015,7,15,30.51965554
12105,2015,7,15,52.99543885
12107,2015,7,15,49.96292599
12109,2015,7,15,72.82596854
12011,2015,7,15,62.53406448
12111,2015,7,15,69.11003584
12113,2015,7,15,79.38412925
12115,2015,7,15,82.68603756
12117,2015,7,15,61.7263159
12119,2015,7,15,34.49579711
12121,2015,7,15,24.11185536
12123,2015,7,15,27.5329255
12125,2015,7,15,72.63275044
12127,2015,7,15,63.94055746
12129,2015,7,15,82.95243947
12013,2015,7,15,82.08294376
12131,2015,7,15,83.15007649
12133,2015,7,15,83.3181073
12015,2015,7,15,77.82362312
12017,2015,7,15,24.25807448
12019,2015,7,15,66.76632168
12021,2015,7,15,78.79568548
12023,2015,7,15,32.21035195
12027,2015,7,15,60.25712441
12029,2015,7,15,48.56615575
12003,2015,7,15,71.0076877
12031,2015,7,15,66.33530925
12033,2015,7,15,76.08307712
12035,2015,7,15,67.18538943
12037,2015,7,15,80.41076364
12039,2015,7,15,82.85358726
12041,2015,7,15,48.55520284
12043,2015,7,15,77.56244768
12045,2015,7,15,84.46178863
12047,2015,7,15,31.14974924
12049,2015,7,15,62.80377824
12005,2015,7,15,83.5642503
12051,2015,7,15,73.84305269
12053,2015,7,15,17.77734175
12055,2015,7,15,66.93036907
12057,2015,7,15,30.64831281
12059,2015,7,15,82.66397798
12061,2015,7,15,56.72135092
12063,2015,7,15,81.94437954
12065,2015,7,15,50.01217526
12067,2015,7,15,28.94515434
12069,2015,7,15,36.08832709
12007,2015,7,15,67.96015463
12071,2015,7,15,77.35184235
12073,2015,7,15,84.47138704
