countyfips,year,month,day,i305
1001,2015,10,15,41.41396349
1101,2015,10,15,41.14544687
1103,2015,10,15,35.64336744
1105,2015,10,15,40.16324552
1107,2015,10,15,38.50691531
1109,2015,10,15,43.75914287
1011,2015,10,15,43.24907039
1111,2015,10,15,39.64089846
1113,2015,10,15,41.91412496
1115,2015,10,15,38.1076107
1117,2015,10,15,38.88300796
1119,2015,10,15,40.74464635
1121,2015,10,15,38.95970927
1123,2015,10,15,40.482178
1125,2015,10,15,38.52945107
1127,2015,10,15,37.87871571
1129,2015,10,15,44.88637727
1013,2015,10,15,44.21323956
1131,2015,10,15,42.61416735
1133,2015,10,15,36.56575501
1015,2015,10,15,37.83984897
1017,2015,10,15,40.47761076
1019,2015,10,15,36.68874341
1021,2015,10,15,39.9512723
1023,2015,10,15,42.99393452
1025,2015,10,15,44.19170455
1027,2015,10,15,39.39139318
1029,2015,10,15,38.55871162
1003,2015,10,15,48.30309346
1031,2015,10,15,44.91957574
1033,2015,10,15,35.57157123
1035,2015,10,15,44.57271889
1037,2015,10,15,40.14633231
1039,2015,10,15,45.83049558
1041,2015,10,15,44.57011847
1043,2015,10,15,36.86650685
1045,2015,10,15,45.17879479
1047,2015,10,15,41.26507005
1049,2015,10,15,35.97000246
1005,2015,10,15,44.17711517
1051,2015,10,15,40.7836074
1053,2015,10,15,45.93060448
1055,2015,10,15,36.75260208
1057,2015,10,15,37.68987253
1059,2015,10,15,36.43381258
1061,2015,10,15,46.20469789
1063,2015,10,15,39.65656277
1065,2015,10,15,39.67646612
1067,2015,10,15,45.41925676
1069,2015,10,15,46.20129995
1007,2015,10,15,39.45907628
1071,2015,10,15,35.12726425
1073,2015,10,15,38.47718512
1075,2015,10,15,37.5395009
1077,2015,10,15,34.67838995
1079,2015,10,15,35.0281642
1081,2015,10,15,41.39937012
1083,2015,10,15,35.14874191
1085,2015,10,15,42.62284656
1087,2015,10,15,41.62634303
1089,2015,10,15,35.2400883
1009,2015,10,15,37.39460843
1091,2015,10,15,41.45611064
1093,2015,10,15,37.0279543
1095,2015,10,15,36.0313628
1097,2015,10,15,47.04759296
1099,2015,10,15,44.62386397
10001,2015,10,15,
10003,2015,10,15,
10005,2015,10,15,
11001,2015,10,15,
12001,2015,10,15,52.71940694
12101,2015,10,15,57.38957489
12103,2015,10,15,57.9580072
12105,2015,10,15,56.92699672
12107,2015,10,15,53.51575172
12109,2015,10,15,52.66538081
12011,2015,10,15,43.35746827
12111,2015,10,15,56.55774702
12113,2015,10,15,47.85305437
12115,2015,10,15,57.50951613
12117,2015,10,15,56.47748094
12119,2015,10,15,55.72299879
12121,2015,10,15,51.27446623
12123,2015,10,15,51.16808085
12125,2015,10,15,51.426365
12127,2015,10,15,55.32370468
12129,2015,10,15,49.97658536
12013,2015,10,15,49.20256998
12131,2015,10,15,48.64920256
12133,2015,10,15,47.29631936
12015,2015,10,15,59.05121031
12017,2015,10,15,55.29083586
19193,2015,10,15,
12019,2015,10,15,52.17506494
12021,2015,10,15,52.53419783
12023,2015,10,15,51.16174005
12027,2015,10,15,56.95857698
12029,2015,10,15,52.95321815
12003,2015,10,15,51.27864567
12031,2015,10,15,51.70138907
12033,2015,10,15,48.96633772
12035,2015,10,15,53.72802002
12037,2015,10,15,52.79328464
12039,2015,10,15,48.06918598
12041,2015,10,15,52.64831492
12043,2015,10,15,58.17083175
12045,2015,10,15,50.52824836
12047,2015,10,15,49.945698
12049,2015,10,15,55.3643468
12005,2015,10,15,49.48076723
12051,2015,10,15,56.6597227
12053,2015,10,15,56.79259531
12055,2015,10,15,56.03021663
12057,2015,10,15,57.96049096
12059,2015,10,15,46.7877884
12061,2015,10,15,55.36147801
12063,2015,10,15,47.60675191
12065,2015,10,15,49.30686116
12067,2015,10,15,51.88852967
12069,2015,10,15,56.23567013
12007,2015,10,15,52.04042798
12071,2015,10,15,58.57318519
12073,2015,10,15,48.76701697
12075,2015,10,15,53.58751434
12077,2015,10,15,49.57393009
12079,2015,10,15,49.83288227
12081,2015,10,15,57.48254898
12083,2015,10,15,54.26291353
12085,2015,10,15,57.63550309
12086,2015,10,15,43.49303986
12087,2015,10,15,52.90949509
12089,2015,10,15,50.76924096
12009,2015,10,15,55.35354767
12091,2015,10,15,48.3455539
12093,2015,10,15,55.89349471
12095,2015,10,15,56.68131412
12097,2015,10,15,55.80611224
12099,2015,10,15,57.11855374
13001,2015,10,15,45.89054091
13101,2015,10,15,49.380516
13103,2015,10,15,44.46590829
13105,2015,10,15,37.67611016
13107,2015,10,15,43.12602342
13109,2015,10,15,44.713825
13011,2015,10,15,37.0113404
13111,2015,10,15,35.86663636
13113,2015,10,15,39.7599007
13115,2015,10,15,36.56119393
13117,2015,10,15,36.93866234
13119,2015,10,15,36.97612847
13121,2015,10,15,38.1271314
13123,2015,10,15,36.47674512
13125,2015,10,15,40.587112
13127,2015,10,15,49.03801432
13129,2015,10,15,36.40185864
13013,2015,10,15,37.7755169
13131,2015,10,15,47.56249393
13133,2015,10,15,39.66621376
13135,2015,10,15,37.60402009
13137,2015,10,15,36.81773205
13139,2015,10,15,37.01280864
13141,2015,10,15,40.385628
13143,2015,10,15,38.07042303
13145,2015,10,15,41.26311744
13147,2015,10,15,37.14973791
13149,2015,10,15,39.67320874
13015,2015,10,15,36.84123191
13151,2015,10,15,39.23468567
13153,2015,10,15,41.67388899
13155,2015,10,15,45.579674
13157,2015,10,15,37.4465808
13159,2015,10,15,39.59810442
13161,2015,10,15,45.432137
13163,2015,10,15,41.23884506
13165,2015,10,15,42.67403635
13167,2015,10,15,42.4398038
13169,2015,10,15,40.10474075
13017,2015,10,15,45.0946813
13171,2015,10,15,40.158882
13173,2015,10,15,48.148327
13175,2015,10,15,42.71257395
13177,2015,10,15,44.60476329
13179,2015,10,15,47.01741323
13181,2015,10,15,39.36070036
13183,2015,10,15,47.15384637
13185,2015,10,15,48.76609356
13187,2015,10,15,36.73525178
13189,2015,10,15,40.3019665
13019,2015,10,15,46.96635532
13191,2015,10,15,47.46111461
13193,2015,10,15,42.76074238
13195,2015,10,15,37.84720134
13197,2015,10,15,41.9245815
13199,2015,10,15,40.0265349
13201,2015,10,15,45.478706
13205,2015,10,15,46.27395179
13207,2015,10,15,39.92168168
13209,2015,10,15,44.23109992
13021,2015,10,15,40.26149514
13211,2015,10,15,39.00632474
13213,2015,10,15,35.97384533
13215,2015,10,15,41.72550292
13217,2015,10,15,38.73483065
13219,2015,10,15,38.33812018
13221,2015,10,15,38.64365513
13223,2015,10,15,37.78377163
13225,2015,10,15,41.70721335
13227,2015,10,15,36.86847202
13229,2015,10,15,47.9398388
13023,2015,10,15,42.411453
13231,2015,10,15,40.21796653
13233,2015,10,15,37.15896084
13235,2015,10,15,42.58373486
13237,2015,10,15,39.82170731
13239,2015,10,15,44.196194
13241,2015,10,15,36.80390395
13243,2015,10,15,44.047401
13245,2015,10,15,40.32223476
13247,2015,10,15,38.466516
